Tracking Numbers,Carrier,Order,Order Date,Supplier SKU,Westwing SKU,Product Name,Quantity,Delivery Date,Last Name,First Name,Company,Address,Address 2,Post Code,City,Country,Status,Purchase Order,Order Item ID,Internal Order Item ID,Delivery Information,Price per Item
,dhl-germany,102/756741,2019-12-03,DB00042017N,,Kindert�pfchen zartrosa,4,2019-12-09,,,BabyOne Bad Nenndorf GmbH,Erwitter Str. 151 b,Filiale: 102,59557,Lippstadt,,,,DB00042017N,57743440,,14.11
,dhl-germany,102/756741,2019-12-03,PS00032017N,,Kindsgut Elch,6,2019-12-09,,,BabyOne Bad Nenndorf GmbH,Erwitter Str. 151 b,Filiale: 102,59557,Lippstadt,,,,PS00032017N,57744631,,13.00
